OID_;X_COORD;Y_COORD;TILE
1281;69,500000000000000;73,500000000000000;069E_73N
1282;70,500000000000000;73,500000000000000;070E_73N
1283;71,500000000000000;73,500000000000000;071E_73N
1284;74,500000000000000;73,500000000000000;074E_73N
1285;75,500000000000000;73,500000000000000;075E_73N
1286;76,500000000000000;73,500000000000000;076E_73N
1287;78,500000000000000;73,500000000000000;078E_73N
1288;79,500000000000000;73,500000000000000;079E_73N
1438;68,500000000000000;72,500000000000000;068E_72N
1439;69,500000000000000;72,500000000000000;069E_72N
1440;70,500000000000000;72,500000000000000;070E_72N
1441;71,500000000000000;72,500000000000000;071E_72N
1442;72,500000000000000;72,500000000000000;072E_72N
1443;74,500000000000000;72,500000000000000;074E_72N
1444;75,500000000000000;72,500000000000000;075E_72N
1445;76,500000000000000;72,500000000000000;076E_72N
1446;77,500000000000000;72,500000000000000;077E_72N
1447;78,500000000000000;72,500000000000000;078E_72N
1448;79,500000000000000;72,500000000000000;079E_72N
1449;80,500000000000000;72,500000000000000;080E_72N
1620;66,500000000000000;71,500000000000000;066E_71N
1621;67,500000000000000;71,500000000000000;067E_71N
1622;68,500000000000000;71,500000000000000;068E_71N
1623;69,500000000000000;71,500000000000000;069E_71N
1624;70,500000000000000;71,500000000000000;070E_71N
1625;71,500000000000000;71,500000000000000;071E_71N
1626;72,500000000000000;71,500000000000000;072E_71N
1627;73,500000000000000;71,500000000000000;073E_71N
1628;74,500000000000000;71,500000000000000;074E_71N
1629;75,500000000000000;71,500000000000000;075E_71N
1630;76,500000000000000;71,500000000000000;076E_71N
1631;77,500000000000000;71,500000000000000;077E_71N
1632;78,500000000000000;71,500000000000000;078E_71N
1633;79,500000000000000;71,500000000000000;079E_71N
1634;80,500000000000000;71,500000000000000;080E_71N
1635;81,500000000000000;71,500000000000000;081E_71N
1636;82,500000000000000;71,500000000000000;082E_71N
1637;83,500000000000000;71,500000000000000;083E_71N
1854;66,500000000000000;70,500000000000000;066E_70N
1855;67,500000000000000;70,500000000000000;067E_70N
1856;68,500000000000000;70,500000000000000;068E_70N
1857;69,500000000000000;70,500000000000000;069E_70N
1858;70,500000000000000;70,500000000000000;070E_70N
1859;71,500000000000000;70,500000000000000;071E_70N
1860;72,500000000000000;70,500000000000000;072E_70N
1861;73,500000000000000;70,500000000000000;073E_70N
1862;74,500000000000000;70,500000000000000;074E_70N
1863;75,500000000000000;70,500000000000000;075E_70N
1864;76,500000000000000;70,500000000000000;076E_70N
1865;77,500000000000000;70,500000000000000;077E_70N
1866;78,500000000000000;70,500000000000000;078E_70N
1867;79,500000000000000;70,500000000000000;079E_70N
1868;80,500000000000000;70,500000000000000;080E_70N
1869;81,500000000000000;70,500000000000000;081E_70N
1870;82,500000000000000;70,500000000000000;082E_70N
1871;83,500000000000000;70,500000000000000;083E_70N
2122;66,500000000000000;69,500000000000000;066E_69N
2123;67,500000000000000;69,500000000000000;067E_69N
2124;68,500000000000000;69,500000000000000;068E_69N
2125;69,500000000000000;69,500000000000000;069E_69N
2126;70,500000000000000;69,500000000000000;070E_69N
2127;71,500000000000000;69,500000000000000;071E_69N
2128;72,500000000000000;69,500000000000000;072E_69N
2129;73,500000000000000;69,500000000000000;073E_69N
2130;74,500000000000000;69,500000000000000;074E_69N
2131;75,500000000000000;69,500000000000000;075E_69N
2132;76,500000000000000;69,500000000000000;076E_69N
2133;77,500000000000000;69,500000000000000;077E_69N
2134;78,500000000000000;69,500000000000000;078E_69N
2135;79,500000000000000;69,500000000000000;079E_69N
2136;80,500000000000000;69,500000000000000;080E_69N
2137;81,500000000000000;69,500000000000000;081E_69N
2138;82,500000000000000;69,500000000000000;082E_69N
2139;83,500000000000000;69,500000000000000;083E_69N
2140;84,500000000000000;69,500000000000000;084E_69N
2141;85,500000000000000;69,500000000000000;085E_69N
2142;86,500000000000000;69,500000000000000;086E_69N
2421;66,500000000000000;68,500000000000000;066E_68N
2422;67,500000000000000;68,500000000000000;067E_68N
2423;68,500000000000000;68,500000000000000;068E_68N
2424;69,500000000000000;68,500000000000000;069E_68N
2425;70,500000000000000;68,500000000000000;070E_68N
2426;71,500000000000000;68,500000000000000;071E_68N
2427;72,500000000000000;68,500000000000000;072E_68N
2428;73,500000000000000;68,500000000000000;073E_68N
2429;74,500000000000000;68,500000000000000;074E_68N
2430;75,500000000000000;68,500000000000000;075E_68N
2431;76,500000000000000;68,500000000000000;076E_68N
2432;77,500000000000000;68,500000000000000;077E_68N
2433;78,500000000000000;68,500000000000000;078E_68N
2434;79,500000000000000;68,500000000000000;079E_68N
2435;80,500000000000000;68,500000000000000;080E_68N
2436;81,500000000000000;68,500000000000000;081E_68N
2437;82,500000000000000;68,500000000000000;082E_68N
2438;83,500000000000000;68,500000000000000;083E_68N
2439;84,500000000000000;68,500000000000000;084E_68N
2440;85,500000000000000;68,500000000000000;085E_68N
2722;66,500000000000000;67,500000000000000;066E_67N
2723;67,500000000000000;67,500000000000000;067E_67N
2724;68,500000000000000;67,500000000000000;068E_67N
2725;69,500000000000000;67,500000000000000;069E_67N
2726;70,500000000000000;67,500000000000000;070E_67N
2727;71,500000000000000;67,500000000000000;071E_67N
2728;72,500000000000000;67,500000000000000;072E_67N
2729;73,500000000000000;67,500000000000000;073E_67N
2730;74,500000000000000;67,500000000000000;074E_67N
2731;75,500000000000000;67,500000000000000;075E_67N
2732;76,500000000000000;67,500000000000000;076E_67N
2733;77,500000000000000;67,500000000000000;077E_67N
2734;78,500000000000000;67,500000000000000;078E_67N
2736;80,500000000000000;67,500000000000000;080E_67N
2737;81,500000000000000;67,500000000000000;081E_67N
2738;82,500000000000000;67,500000000000000;082E_67N
2739;83,500000000000000;67,500000000000000;083E_67N
3033;66,500000000000000;66,500000000000000;066E_66N
3034;67,500000000000000;66,500000000000000;067E_66N
3035;68,500000000000000;66,500000000000000;068E_66N
3036;69,500000000000000;66,500000000000000;069E_66N
3037;70,500000000000000;66,500000000000000;070E_66N
3038;71,500000000000000;66,500000000000000;071E_66N
3039;72,500000000000000;66,500000000000000;072E_66N
3040;73,500000000000000;66,500000000000000;073E_66N
3041;74,500000000000000;66,500000000000000;074E_66N
